rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,fit_cup,based_on,note_weight,ranksort,tonesort,techsort,pricesort
S,,Sennheiser HE-1,59000,Harman neutral,"Mostly neutral, slight bass lift, highly resolving and natural both in tone and timbre. The world's best headphone.",S+,S,Electrostatic,Open Circumaural,Showfloor demo unit,,4,1,3,59000
S,★,Hifiman Susvara,6000,Neutral,Subtle refinements to the already-great HE1000 makes this arguably the best planar in the world.,S,S,Planar ,Open Circumaural,Third party unit,,6,3,3,6000
S-,,Hifiman HE1000(V2),3000(HE1000),Neutral,"A planar that comes unnervingly close estat speed, but not quite. Solid technicalities with excellent tone.",S,S-,Planar,Open Circumaural,Personal unit,,10,3,7,3000
S-,★,Focal Utopia,4000,Neutral,Solid tuning with close to top-tier resolution. An inoffensive all-rounder that lives up to its reputation.,S,S-,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,10,3,7,4000
A+,,Focal Clear,Discontinued1500(Replaced by Clear Mg),Warm neutral,A decent Utopia alternative for thinner wallets. Slightly warmer sound may be more pleasant for some.,S-,A+,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,20,7,13,1500
A+,,Hifiman HE1000se,3500,Bright neutral,Basically a brighter and slightly shoutier version of the OG; may be a little too intense for some.,A+,S-,Planar,Open Circumaural,Third party unit,,20,13,7,3500
A+,★,Hifiman Arya,1600,Bright neutral,High resolution planar that may be a little peaky in the treble for some.,A+,S-,Planar,Open Circumaural,Connect IT demo unit,,20,13,7,1600
A+,,Hifiman Shangri-La Jr,8000,Bright neutral,"A tad too shouty for my tastes, but far less offensive tonal characteristics than the average estat.",A,S,Electrostatic,Open Circumaural,AV One demo unit,,24,21,3,8000
A,,Hifiman Jade II,2500,Bass-rolled neutral,"Suffers from typical estat timbre and bass extension issues, but otherwise a very resolving and well-tuned headphone.",A,S-,Electrostatic,Open Circumaural,AV One demo unit,,28,21,7,2500
A,,Stax SR-007(Mk2.5),2100+975(SRM-353X),Warm neutral,"Arguably the least wonky-sounding of the mainstream Staxes, with resolution just shy of the flagship 009.",A-,S+,Electrostatic,Open Circumaural,Zeppelin & Co demo unit,,32,31,1,3075
A,★,HEDDphone,1900,Warm neutral,"An interesting in-between of DD and estat timbre, though tuning around the lower midrange may be off.",A,A+,AMT,Open Circumaural,Third party unit,,34,21,13,1900
A,★★,Aurorus Borealis,900,Neutral,"Sounds like an odd mashup of the HD600 and the Clear, in a good way.",A+,A,Dynamic,Open Circumaural,Third party unit,,34,13,21,900
A,★,Nectar Hive,600+975(SRM-353X),Bright neutral,"Some spiciness in the treble that is HD800-esque, but with a better midrange presentation.",A,A,Electrostatic,Open Circumaural,Personal unit,,42,21,21,1575
A-,,Hifiman Edition X V2,1300(Edition X V2),Neutral,Excellent tonal balance though limited by blunted notes and resolution.,S,B+,Planar,Open Circumaural,AV One demo unit,,46,3,43,1300
A-,,Stax SR-Lambda Pro,700(SR-Lambda Pro),Neutral,"One of the original Lambda models, and arguably the best tuned of the Lambda-styled Staxes.",B+,S-,Electrostatic,Open Circumaural,Third party unit,,50,43,7,700
A-,★★,Sennheiser HD600,400,Neutral,The legendary neutral reference. Slightly better clarity and imaging than the HD650.,S-,B+,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,50,7,43,400
A-,★★,Audio Technica ATH-R70x,350,Warm neutral,Excellent imaging. Mostly neutral/flat tuning with an ever-so-slight tilt towards warmth.,A+,B+,Dynamic,Open Circumaural,Third party unit,,56,13,43,350
B+,,Stax SR-404Stax SR-404 Limited,500(SR-404),Neutral,Similar tuning to that of the Lambda Pro. Sonically identical between 404 and 404LE.,B,S-,Electrostatic,Open Circumaural,Third party unit,,64,57,7,500
B+,,Stax SR-507,830(SR-507),Neutral,Similar tuning to that of the Lambda Pro.,B,S-,Electrostatic,Open Circumaural,Third party unit,,64,57,7,830
B+,,Hifiman HE6,1300(HE6),Bright neutral,"Clean, resolving yet intense sound scratches the detail itch but is a little too edgy for long listens.",B,S-,Planar,Open Circumaural,Third party unit,,64,57,7,1300
B+,,Stax SR-4070,1700(SR-4070),Mid-centric,Surprisingly wide and spacious soundstage for a closed-back. Good low-end extension but rather shouty.,B,S-,Electrostatic,Closed Circumaural,Third party unit,,64,57,7,1700
B+,,ZMF Auteur(Teak)(pref. lambskin Auteur pads),1600,Bright neutral,Very pleasant tonality but lacking that last bit of definition for true top-tier status.,A,B+,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,64,21,43,1600
B+,★,Hifiman Ananda,700,Neutral,"One of the best tuned headphones available, only limited by its raw resolving ability.",S-,B,Planar,Open Circumaural,Connect IT demo unit,,64,7,57,700
B+,★★★,AKG K612 Pro,200,Neutral,"Basically dead-neutral tuning, emphasis on ""dead"". Strong all-rounder whose only fault is not having that ""wow-factor"".",S-,B,Dynamic,Open Circumaural,Connect IT demo unit,,64,7,57,200
B+,★★,Hifiman Sundara,350,Neutral,Solid tuning with a little treble spiciness for the daring. One of the better midrange planars out there.,A+,B,Planar,Open Circumaural,Connect IT demo unit,,70,13,57,350
B+,★★★,Sennheiser HD650/HD6XX,220(HD6XX),Warm neutral,"The legendary neutral reference. ""Veiled"" with a warm tilt (in comparison to HD600), and pretty terrible at imaging.",A+,B,Dynamic,Open Circumaural,Zeppelin & Co demo unit,,70,13,57,220
B+,★★,Moondrop Para,300,Neutral,,A+,B,Planar,Open Circumaural,Review unit,,70,13,57,340
B+,★,Fostex TH610,600,Mild V-shape,The most neutral of the Foster biodyna models. If you want a little more balance than the Teaks.,B+,A-,Dynamic,Closed Circumaural,AV One demo unit,,74,43,31,600
B+,★,E-MU Teak,400,V-shaped,"Excellent dynamics with one of the best bass I've heard in a headphone, though the midrange can be a little harsh.",B+,A-,Dynamic,Semi-open Circumaural,Zeppelin & Co demo unit,,74,43,31,400
B+,,Sennheiser HD800/HD800S,1700(HD800S),Bright neutral,"Arguably the king of soundstage and raw detail, though at the cost of its infamous treble spike.",B-,S,Dynamic,Open Circumaural,Personal unit,,76,73,3,1700
B+,,Beyerdynamic T70,600(T70),Bright neutral,"Treble peak may offend some, but otherwise very well balanced and natural tonality with decent technicalities.",A,B,Dynamic,Closed Circumaural,Jaben SG demo unit,,78,21,57,600
