_rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,status,ranksort,tonesort,techsort,pricesort
S-,★,Elysian Annihilator (2021),3700,U-shaped,,S-,S,2EST 4BA 1DD,Zeppelin & Co demo unit,10,7,3,3700
S-,★★,"Hidition Viento(B-mode, custom)",950,Variable,Best-in-class tuning and tonal balance with near-perfect coherency. Recommended as a custom-fit.,S+,A+,4BA,Zeppelin & Co demo unit,14,1,13,950
S-,★★,ThieAudio Monarch Mk2,1000,Neutral with bass boost,,S+,A+,2EST 6BA 1DD,Available for demo at The Hangout,14,1,13,1000
A+,★,Hidition NT6,1050,Neutral,"If Etymotic made a multi-BA IEM, this would be the closest to that dream",S-,A+,6BA,Null Audio demo unit,20,7,13,1050
A+,★,ThieAudio V16 Divinity,1500,Neutral with bass boost,,S-,A+,16BA,Available for demo at The Hangout,20,7,13,1500
A+,★,Sony IER-Z1R,1700,Mild V-shape,"Extended yet natural treble, realistic sub-bass focus and spacious imaging capabilities.",A+,S-,1BA 2DD,Personal unit,20,13,7,1700
A+,★★★,Moondrop Variations,520,U-shaped,Sub-bass-focused signature with Moondrop's clean tuning makes this one of the best $500 tribrids.,S,A,2EST 2BA 1DD,Available for demo at The Hangout,24,3,21,520
A+,★,qdc 8SL/Gemini/Anole VX,1410 (8SL)2180 (Gemini)2560 (Anole VX),Mild V-shape,Reference tuning with good tonality and top-level resolution. Similar tunings across top tier models.,A,S,8/10BA,Music Sanctuary demo unit,24,21,3,1410
A+,★★,Sennheiser IE600,700,U-shaped,"Well-tuned mids, powerful yet controlled sub-bass, with highly extended (and somewhat spicy) treble.",A+,A+,DD,Available for demo at The Hangout,26,13,13,700
A+,,Softears RS10,2100,U-shaped,A little shouty and intense but very resolving and well-defined. A somewhat refined Moondrop S8.,A+,A+,10BA,Showfloor demo unit,26,13,13,2100
A+,,Oriolus Traillii,6000,Neutral with bass boost,,A+,A+,4EST 8BA,Zeppelin & Co demo unit,26,13,13,6000
A,★★,Moondrop S8,700,U-shaped,"More faithful to the Harman target compared to the A8, with a smoother bass response.",S-,A,8BA,Oardio demo unit,28,7,21,700
A,★★,ThieAudio Monarch,730,Neutral with bass boost,Neutral with bass boost,S-,A,2EST 6BA 1DD,Available for demo at The Hangout,28,7,21,730
A,★★★,Moondrop Blessing 2,320,Mild V-shape,"Very well tuned from bass to treble, perhaps lacking in the last octaves of extension.",A+,A,4BA 1DD,Available for demo at The Hangout,34,13,21,320
A,★★,ThieAudio Oracle,540,Neutral with bass boost,Functionally similar to the Clairvoyance with slight cutbacks in overall clarity and resolution.,S,A-,2EST 2BA 1DD,Available for demo at The Hangout,34,3,31,540
A,★,Softears RSV,730,Neutral with bass boost,"Very well-balanced tonality with surprisingly good timbre, though slightly lacking definition.",S,A-,5BA,Available for demo at The Hangout,34,3,31,730
A,,64 Audio A/U12t,2000,Neutral with bass boost,"Amazing bass (for a BA), top-tier resolution and detail-oriented signature.",A,A+,12BA,Music Sanctuary demo unit,34,21,13,2000
A,,StereoPravda SB7,2500,Bright neutral,Technically proficient but marred by a sharp timbre. Interesting concept.,A-,S,7BA,Zeppelin & Co demo unit,34,31,3,2500
A,,Hidition Violet,3300,Neutral with bass boost,"Strong sub-bass presence, slightly cut-back upper mids. A fun IEM through and through.",A,A+,11BA,Zeppelin & Co demo unit,34,21,13,3300
A,,Empire Ears Odin,3400,Mild V-shape,A Legend X with the bass properly controlled and the resolution one step higher.,A,A+,4EST 5BA 2DD,Zeppelin & Co demo unit,34,21,13,3400
A,,Vision Ears Erlkonig,4800,Variable,"Good tonality, high resolution and an overall decent all-rounder.",A,A+,13BA,Third party unit,34,21,13,4800
A,,Elysian X,4600,V-shaped,,A-,S-,4EST 4BA 1DD,Zeppelin & Co demo unit,38,31,7,4600
A,★★★,DUNU Talos,200,Bright neutral,,A,A,1Planar 2BA,Available for demo at The Hangout,42,21,21,200
A,★★★,7Hz Timeless,220,Neutral with bass boost,"Easily the best-tuned planar IEM by a country mile, the Timeless is also no slouch on the technical front.",A,A,Planar,Available for demo at The Hangout,42,21,21,220
A,★,Moondrop A8,667,V-shaped,"An odd but surprisingly decent take on the Harman signature, with added midbass compared to the S8.",A,A,8BA,Oardio demo unit,42,21,21,667
A,★,Symphonium Helios,1100,Neutral with bass boost,,A,A,4BA,Zeppelin & Co demo unit,42,21,21,1100
A,,Elysian Diva,1600,U-shaped,,A,A,6BA,Available for demo at The Hangout,42,21,21,1600
A,,qdc Anole V14,2740,Variable,"Rather bassy even in stock form; fun and engaging, though at the expense of sheer technical performance.",A,A,4EST 10BA,Jaben SG demo unit,42,21,21,2740
A-,★,Kiwi Ears Orchestra,500,Mild V-shape,Very well-tuned reference-y signature with a mild bass and treble emphasis for added energy.,A+,A-,8BA,Available for demo at The Hangout,44,13,31,500
A-,,Vision Ears Elysium,3200,Mild V-shape,First decent implementation of Sonion's EST tweeters. ,A-,A+,2EST 1BA 1DD,E1 demo unit,44,31,13,3200
A-,,Ultimate Ears Reference Monitor (UERM),Discont.,Neutral,"The benchmark of an era, dead-flat with an upper treble boost",A+,A-,3BA,Personal custom,44,13,31,99999
A-,★,ThieAudio Clairvoyance,700,Neutral with bass boost,"Inoffensive, pleasant tuning specialising in extremely balanced tonality and bass control.",S,B+,2EST 5BA 1DD,Available for demo at The Hangout,46,3,43,700
A-,,JVC HA-FW10000,2200,Bright neutral,Intense and shouty DF-style signature with solid resolution.,B+,S-,DD,Stereo SG demo unit,50,43,7,2200
A-,★★,Drop + JVC HA-FDX1,280,Neutral,"Highly technical sound with a clean, well-tuned neutral signature.",A,A-,DD,Available for demo at The Hangout,52,21,31,280
A-,★,Kumitate KL-Sirius,815,Neutral,"Excellent technical ability, well tuned with a dash of Japanese flavour.",A,A-,4BA,Third party custom,52,21,31,815
A-,,Softears Twilight,930,V-shaped,,A-,A,DD,Available for demo at The Hangout,52,31,21,930
A-,,Sony IER-M9,1000,Warm neutral,"Neutral tonality, highly coherent and decent detail pickup. The all-rounder of the IER lineup.",A-,A,5BA,Showfloor demo unit,52,31,21,1000
A-,,PEARS SH3,1100,Neutral,"Great detail pickup and solid all-rounder, perhaps a little strident.",A,A-,3BA,Third party unit,52,21,31,1100
A-,,Empire Ears ESR Mk2,1100,Warm neutral,Possibly the most pleasant-sounding of the Empire Ears lineup with decent detailing to boot.,A,A-,2EST 3BA,Zeppelin & Co demo unit,52,21,31,1100
A-,,qdc 8SS,1450,Neutral,"The neutral ""studio monitor"" of qdc's 8-series of IEMs, lacking a bit in overall extension.",A-,A,8BA,Music Sanctuary demo unit,52,31,21,1450
A-,,Kumitate KL-Focus,1600,U-shaped,"Selectable bass response with the rest of the FR following a more ""Japanese reference"" tuning.",A,A-,5BA,Treoo demo unit,52,21,31,1600
A-,,Hidition NT8,1850,Neutral,Coloured neutral kind of sound that works better with Asian genres.,A-,A,8BA,Zeppelin & Co demo unit,52,31,21,1850
A-,,64 Audio Tia Trio,2300,Neutral with bass boost,A more correct sounding version of the Fourte with slight cutbacks in staging and sheer resolution.,A,A-,2BA 1DD,E1 demo unit,52,21,31,2300
A-,,Moondrop Blessing,Discont.,Bright neutral,All rounder that comes the closest to the Harman Target.,A,A-,4BA 1DD,Available for demo at The Hangout,52,21,31,99999
A-,★,DUNU Vulkan,380,U-shaped,,A+,B+,4BA 2DD,e-Earphone demo unit,56,13,43,380
A-,,Hidition Waltz,900,Mild V-shape,Neutral-fun signature that works both as a reference monitor and a rock-out IEM.,A+,B+,3BA,Zeppelin & Co demo unit,56,13,43,900
A-,,Softears Turii,1400,Mild V-shape,Resolving and fairly well-tuned dynamic-driver IEM.,B+,A+,DD,Showfloor demo unit,56,43,13,1400
A-,,64 Audio Nio,1700,Variable,"A decent bassy set with the m15/m20 modules, but really shines with the mX modules.",A+,B+,8BA 1DD,Available for demo at The Hangout,56,13,43,1700
A-,,64 Audio A/U18 Tzar,3000,Warm neutral,"A rather simple and ""mainstream"" tuning refined to a high level.",B+,A+,18BA,Music Sanctuary demo unit,56,43,13,3000
A-,,Shure KSE1200,2000,Bright U-shape,"Easily at the top in terms of resolution and definition, but comes with a big treble spike and slightly odd mids.",B,S+,Electrostatic,A2A Melbourne demo unit,58,57,1,2000
A-,★★★,Tangzu Zetian Wu,150,Neutral with bass boost,,A-,A-,Planar,Third party unit,62,31,31,150
A-,★,Etymotic ER4XR,350,Neutral,A more mainstream tuning of the ER4S/SR with slightly boosted bass.,A-,A-,BA,Zeppelin & Co demo unit,62,31,31,350
A-,★,Sony IER-M7,500,Warm neutral,"Balanced across the board, though doesn't seem to excel in any particular area.",A-,A-,4BA,Showfloor demo unit,62,31,31,500
A-,★,ThieAudio Excalibur,530,V-shaped,"Probably the weakest of the ThieAudio tribrids, but still great on its own.",A-,A-,2EST 2BA 1DD,Available for demo at The Hangout,62,31,31,530
A-,,Lime Ears Model X,1000,Variable,Technically capable IEM that goes from decently neutral to warm and smooth in a pinch.,A-,A-,4BA,Music Sanctuary demo unit,62,31,31,1000
A-,,See Audio Neo,1100,Neutral with bass boost,Well-balanced tonality with good resolution; emphasised bass with good control.,A-,A-,10BA,Zeppelin & Co demo unit,62,31,31,1100
A-,,InEar SD5,1100,Warm V-shape,Excels in timbre reproduction and has an overall pleasant signature.,A-,A-,5BA,Music Sanctuary demo unit,62,31,31,1100
A-,,Noble K10 Encore,1850,Neutral,Reference oriented sound focused on technicalities.,A-,A-,10BA,Stereo SG demo unit,62,31,31,1850
A-,,Noble Katana,1850,Neutral with laid-back treble,"Like the K10, except with less bass.",A-,A-,9BA,Stereo SG demo unit,62,31,31,1850
A-,,Elysian Poseidon,1940,Neutral with bass boost,"Good, inoffensive midrange tone and bass tuning, marred by the lack of low-level detailing.",A-,A-,6BA 1DD,Showfloor demo unit,62,31,31,1940
A-,,Empire Ears Legend X,2300,V-shaped,High resolution hybrid flawed only by lack of control in the bass regions.,A-,A-,5BA 2DD,Zeppelin & Co demo unit,62,31,31,2300
A-,,Vision Ears VE8,2700,Warm neutral,Extremely coherent signature with a pleasing tuning and high technicalities.,A-,A-,8BA,E1 demo unit,62,31,31,2700
A-,,Vision Ears EXT,3000,U-shaped,,A-,A-,2EST 2DD,E1 demo unit,62,31,31,3000
A-,,Empire Ears Legend X SE,3250,V-shaped,"A more upper-mid-forward variation of the original Legend X, which could come off as slightly more mid-recessed.",A-,A-,5BA 2DD,BKK Audio demo unit,62,31,31,3250
A-,,Massdrop x Noble K10,Discont.,Neutral with bass boost,"Very safe tuning, almost to the point of boredom. Does nothing wrong but nothing right either.",A-,A-,10BA,Stereo SG demo unit,62,31,31,99999
A-,,Etymotic ER4B,Discont.,Bright neutral,,A-,A-,BA,Zeppelin & Co demo unit,62,31,31,99999
B+,★★★,Etymotic ER2SE/ER2XR,110,Neutral,"Slightly less detailed than the ER4, but without the usual BA timbre.",A,B+,DD,Zeppelin & Co demo unit,64,21,43,110
B+,★★,Moondrop Kato,190,Mild V-shape,,A,B+,DD,Available for demo at The Hangout,64,21,43,190
